id,name,block,type,lat,lon,x,z,radius,precision
jerusalem,Jerusalén,1,city,31.778,35.235,0,0,240,high
bethlehem,Belén,1,city,31.7054,35.2024,-309,-803,110,high
tekoa,Tecoa,1,city,31.636,35.214,-199,-1570,90,medium
beth_zur,Bet-sur,1,city,31.596,35.102,-1259,-2012,100,medium
hebron,Hebrón,1,city,31.5326,35.0998,-1279,-2713,150,high
beersheba,Beerseba,1,city,31.2518,34.7913,-4199,-5818,145,high
arad,Arad,1,city,31.278,35.126,-1031,-5529,105,high
jericho,Jericó,1,city,31.871,35.444,1978,1028,135,high
gezer,Gezer,1-2,city,31.859,34.919,-2990,896,150,high
bethel,Betel,1,city,31.926,35.238,28,1636,125,medium
shiloh,Silo,1,city,32.055,35.289,511,3063,105,high
shechem,Siquem,1,city,32.213,35.282,445,4810,165,high
samaria,Samaria,1-3,city,32.2778,35.189,-435,5526,220,high
ekron,Ecrón,2,city,31.777,34.848,-3662,-11,175,high
gath,Gat,2,city,31.7,34.847,-3672,-862,175,high
azekah,Azecá,2,city,31.7004,34.9203,-2978,-858,110,high
libnah,Libná,2,city,31.624,34.868,-3473,-1703,105,low
lachish,Laquis,2,city,31.564,34.849,-3653,-2366,185,high
ashdod,Asdod,2,city,31.754,34.655,-5489,-265,185,high
ashkelon,Ascalón,2,city,31.665,34.559,-6397,-1249,195,high
gaza,Gaza,2-8,city,31.504,34.466,-7277,-3030,215,high
dothan,Dothan,3,settlement,32.413,35.238,28,7021,65,high
beth_shean,Bet-seán,3-4,city,32.498,35.501,2517,7961,115,high
jezreel,Jezreel,3,city,32.558,35.33,899,8625,170,high
megiddo,Megido,3,city,32.585,35.184,-483,8923,190,high
hazor,Hazor,3,city,33.017,35.568,3151,13700,190,high
dan,Dan,3-6,city,33.249,35.653,3956,16265,175,high
ramoth_gilead,Ramot de Galaad,4-6,city,32.56,36.0,7239,8647,155,low
jazer,Jazer,4,city,31.99,35.73,4684,2344,105,low
rabbah,Rabá,4,city,31.954,35.935,6624,1946,220,high
minnith,Minnit,4,city,31.91,35.98,7050,1460,90,low
abel_keramim,Abel-Queramim,4,city,31.88,35.84,5725,1128,90,low
heshbon,Hesbón,4,city,31.8,35.81,5441,243,150,high
nebo_city,Nebo,4,city,31.765,35.725,4637,-144,95,medium
medeba,Medeba,4,city,31.716,35.793,5280,-686,140,high
atarot,Atarot,4,city,31.6,35.735,4732,-1968,100,high
beth_baal_meon,Bet-Baal-Meón,4,city,31.68,35.733,4713,-1084,100,medium
dibon,Dibón,4,city,31.497,35.782,5176,-3107,195,high
aroer,Aroer,4,city,31.433,35.77,5063,-3815,105,medium
kir_hareseth,Kir-Hareset,4-5,city,31.185,35.704,4438,-6557,175,high
bozrah,Bosra,5,city,30.736,35.607,3520,-11522,205,high
punon_faynan,Punón/Faynan,5,mining_district,30.63,35.47,2224,-12694,70,high
sela,Sela,5,city,30.77,35.61,3549,-11146,175,medium
teman,Temán,5,city,30.32,35.49,2413,-16122,135,low
elath,Elat,5-8,city,29.5577,34.9519,-2679,-24551,165,high
ezion_geber,Ezión-Geber,5-8,port,29.579,34.982,-2394,-24315,80,high
tyre,Tiro,6,city,33.2705,35.2038,-295,16503,225,high
sarepta,Sarepta,6,city,33.458,35.295,568,18576,105,high
sidon,Sidón,6,city,33.561,35.374,1315,19715,205,high
berytus,Berito,6,city,33.894,35.502,2527,23397,145,high
byblos,Biblos,6,city,34.123,35.651,3937,25930,185,high
arwad,Arwad,6,city,34.855,35.858,5896,34024,150,high
beth_rehob,Bet-Rehob,6,city,33.27,35.68,4211,16498,105,low
zobah,Zobá,6,city,33.98,36.16,8754,24348,125,low
damascus,Damasco,6,city,33.5138,36.2765,9856,19193,260,high
hamath,Hamat,6-7,city,35.1318,36.7578,14411,37084,205,high
arpad,Arpad,6-7,city,36.473,37.095,17602,51914,185,high
aleppo,Halab/Alepo,7,city,36.202,37.134,17971,48918,175,high
kinalua,Kinalua/Kunulua,7,city,36.247,36.377,10807,49416,165,high
samal,Sam'al,7,city,37.103,36.678,13655,58881,185,high
gurgum,Gurgum,7,city,37.575,36.922,15965,64100,180,high
carchemish,Carquemis,7,city,36.829,38.014,26298,55851,230,high
melid,Melid,7,city,38.381,38.361,29582,73012,200,high
rafah,Rafah,8,city,31.296,34.244,-9378,-5330,95,high
el_arish,El-Arish,8,oasis_settlement,31.132,33.803,-13551,-7143,85,high
tjaru,Tjaru/Sile,8,fortress,30.98,32.49,-25977,-8824,95,medium
pi_ramesses,Pi-Ramés/Ramesés,8,ruins,30.79,31.83,-32222,-10925,180,high
tanis,Tanis,8,city,30.977,31.878,-31768,-8857,205,high
bubastis,Bubastis,8,city,30.576,31.515,-35203,-13291,185,high
sais,Sais,8,city,30.967,30.766,-42291,-8968,190,high
heliopolis,Heliópolis,8,city,30.129,31.306,-37181,-18234,180,high
memphis,Memphis,8,city,29.849,31.254,-37673,-21330,250,high
giza,Giza,8,monument,29.979,31.134,-38809,-19892,0,high
saqqara,Saqqara,8,monument,29.871,31.216,-38033,-21086,0,high
serabit,Serabit el-Khadim,8,ruins_mining,29.037,33.458,-16816,-30308,60,high
mount_sinai,Monte Sinaí/Horeb,8,landmark,28.539,33.975,-11924,-35815,0,traditional
hermopolis,Hermópolis,8,city,27.781,30.803,-41941,-44196,150,high
abydos,Abydos,8,city,26.185,31.919,-31380,-61844,145,high
thebes,Tebas,8,city,25.718,32.658,-24387,-67008,260,high
