id,name,block,type,x,z,radius,status
jerusalem,Jerusalén,1,city,0,0,240,master_v1
bethlehem,Belén,1,city,-310,-810,110,master_v1
tekoa,Tecoa,1,city,-200,-1580,90,master_v1
beth_zur,Bet-sur,1,city,-1260,-2020,100,master_v1
hebron,Hebrón,1,city,-1280,-2720,150,master_v1
beersheba,Beerseba,1,city,-4200,-5900,145,added_in_consolidation
arad,Arad,1,city,-150,-5750,105,added_in_consolidation
jericho,Jericó,1,city,1970,1030,135,master_v1
gezer,Gezer,1-2,city,-2980,900,150,master_v1
bethel,Betel,1,city,30,1640,125,master_v1
shiloh,Silo,1,city,510,3070,105,master_v1
shechem,Siquem,1,city,440,4830,165,master_v1
samaria,Samaria,1-3,city,-350,5540,220,master_v1
ekron,Ecrón,2,city,-3650,0,175,master_v1
gath,Gat,2,city,-3850,-900,175,master_v1
azekah,Azecá,2,city,-3000,-900,110,master_v1
libnah,Libná,2,city,-3350,-1800,105,master_v1
lachish,Laquis,2,city,-3650,-2450,185,master_v1
ashdod,Asdod,2,city,-5500,250,185,master_v1
ashkelon,Ascalón,2,city,-6350,-1250,195,master_v1
gaza,Gaza,2-8,city,-7200,-3150,215,master_v1
dothan,Dothan,3,settlement,-650,7000,65,master_v1
beth_shean,Bet-seán,3-4,city,2510,7980,115,master_v1
jezreel,Jezreel,3,city,880,8660,170,master_v1
megiddo,Megido,3,city,-480,8950,190,master_v1
hazor,Hazor,3,city,3140,13750,190,master_v1
dan,Dan,3-6,city,3940,16330,175,master_v1
ramoth_gilead,Ramot de Galaad,4-6,city,7600,8050,155,master_v1
jazer,Jazer,4,city,6250,2850,105,master_v1
rabbah,Rabá,4,city,6950,2200,220,master_v1
minnith,Minnit,4,city,7750,1750,90,master_v1
abel_keramim,Abel-Queramim,4,city,7050,1050,90,master_v1
heshbon,Hesbón,4,city,5750,250,150,master_v1
nebo_city,Nebo,4,city,5050,-550,95,master_v1
medeba,Medeba,4,city,5550,-850,140,master_v1
atarot,Atarot,4,city,5250,-1750,100,master_v1
beth_baal_meon,Bet-Baal-Meón,4,city,5550,-2200,100,master_v1
dibon,Dibón,4,city,5650,-3350,195,master_v1
aroer,Aroer,4,city,5750,-4300,105,master_v1
kir_hareseth,Kir-Hareset,4-5,city,5200,-6750,175,master_v1
bozrah,Bosra,5,city,6100,-8750,205,master_v1
punon_faynan,Punón/Faynan,5,mining_district,4400,-10000,70,master_v1
sela,Sela,5,city,5750,-10750,175,master_v1
teman,Temán,5,city,6500,-12450,135,master_v1
elath,Elat,5-8,city,4050,-15400,165,master_v1
ezion_geber,Ezión-Geber,5-8,port,4200,-15700,80,master_v1
tyre,Tiro,6,city,-300,16560,225,master_v1
sarepta,Sarepta,6,city,610,18560,105,master_v1
sidon,Sidón,6,city,1320,19780,205,master_v1
berytus,Berito,6,city,2510,23490,145,master_v1
byblos,Biblos,6,city,3910,26030,185,master_v1
arwad,Arwad,6,city,5860,34140,150,master_v1
beth_rehob,Bet-Rehob,6,city,4300,17750,105,master_v1
zobah,Zobá,6,city,7350,20800,125,master_v1
damascus,Damasco,6,city,9790,19270,260,master_v1
hamath,Hamat,6-7,city,14240,37240,205,master_v1
arpad,Arpad,6-7,city,17490,52110,185,master_v1
aleppo,Halab/Alepo,7,city,19100,54800,175,master_v1
kinalua,Kinalua/Kunulua,7,city,13100,55700,165,master_v1
samal,Sam'al,7,city,15700,61100,185,master_v1
gurgum,Gurgum,7,city,21800,66200,180,master_v1
carchemish,Carquemis,7,city,26300,63700,230,master_v1
melid,Melid,7,city,31300,75900,200,master_v1
rafah,Rafah,8,city,-9200,-5350,95,master_v1
el_arish,El-Arish,8,oasis_settlement,-13400,-7050,85,master_v1
tjaru,Tjaru/Sile,8,fortress,-25300,-8650,95,master_v1
pi_ramesses,Pi-Ramés/Ramesés,8,ruins,-30600,-11100,180,master_v1
tanis,Tanis,8,city,-31600,-8850,205,master_v1
bubastis,Bubastis,8,city,-35200,-13200,185,master_v1
sais,Sais,8,city,-42200,-9000,190,master_v1
heliopolis,Heliópolis,8,city,-37100,-18200,180,master_v1
memphis,Memphis,8,city,-37650,-21300,250,master_v1
giza,Giza,8,monument,-38800,-19800,0,master_v1
saqqara,Saqqara,8,monument,-38200,-22500,0,master_v1
serabit,Serabit el-Khadim,8,ruins_mining,-16600,-30300,60,master_v1
mount_sinai,Monte Sinaí/Horeb,8,landmark,-11700,-35800,0,master_v1
hermopolis,Hermópolis,8,city,-41900,-44300,150,master_v1
abydos,Abydos,8,city,-31300,-62000,145,master_v1
thebes,Tebas,8,city,-24400,-67100,260,master_v1
